Date,FDTR Index,VIX Index,USTW$ Index,USGG10YR Index,USGG30YR Index,USGG5YR Index,USYC2Y10 Index,USYC2Y30 Index,USYC5Y10 Index,USYC2Y5Y Index,CPI YOY Index,FDIDFDMO Index,USURTOT Index,NFP TCH Index,USEMNCHG Index,IP CHNG Index,MTIBCHNG Index,MGT2TB Index,PIDSPINX Index,NAPMPMI Index,OUTFGAF Index,USGGBE10 Index,USHBMIDX Index,CONCCONF Index,OEUSKLAR Index,RSTAMOM Index,USTBTOT Index,FDDSGDP Index,M2% YOY Index,CLA Comdty,CONSSENT Index,PIDSDPS Index,CICRTOT Index,ARDIMOYY Index,M1% YOY Index,SCGRRAI Index,EMB US Equity,SPE AUTO Index,SPE CARD Index,BFCIUS Index,INJCJMOM Index,LEI CHNG Index,GDP CYOY Index,SLDETIGT Index,SLDETGTS Index,GFSIFFND Index,XLF US Equity,XLE US Equity,XLK US Equity,XLV US Equity,XLI US Equity,XLY US Equity,XLB US Equity,CDX HY CDSI GEN 5Y SPRD Corp,PCUSEQTR Index,GFSIRLIQ Index,CIGMEMRA Index,CIGMGRAM Index,LF98OAS Index
01/01/1997,5.25,20.92,88.4869,6.42,6.641,6.21,48.45,70.6,14,34.45,3.3,#N/A N/A,5.4,171,89,0.64,0,1.43,7496.1,55.2,8.1,#N/A N/A,55,114.25,73.0711,0.4,-10.475,-1.3,4.9,#N/A N/A,96.9,5.7,11.015,4.02,-4.1,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.779,7.5,0.1,4.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2.88
02/01/1997,5.25,21.14,88.7042,6.514,6.739,6.28,57.8,70.5,24.85,32.95,3.3,#N/A N/A,5.4,171,89,0.64,0,1.43,7496.1,55.2,8.1,#N/A N/A,55,114.25,73.0711,0.4,-10.475,-1.3,4.9,#N/A N/A,96.9,5.7,11.015,4.02,-4.1,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.792,7.5,0.1,4.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2.88
03/01/1997,5.25,19.13,89.2399,6.498,6.732,6.265,54.55,78.6,21.05,33.5,3.3,#N/A N/A,5.4,171,89,0.64,0,1.43,7496.1,55.2,8.1,#N/A N/A,55,114.25,73.0711,0.4,-10.475,-1.3,4.9,#N/A N/A,96.9,5.7,11.015,4.02,-4.1,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.854,7.5,0.1,4.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2.88
04/01/1997,5.25,19.13,89.2399,6.498,6.732,6.265,54.55,78.6,21.05,33.5,3.3,#N/A N/A,5.4,171,89,0.64,0,1.43,7496.1,55.2,8.1,#N/A N/A,55,114.25,73.0711,0.4,-10.475,-1.3,4.9,#N/A N/A,96.9,5.7,11.015,4.02,-4.1,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.854,7.5,0.1,4.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2.88
05/01/1997,5.25,19.13,89.2399,6.498,6.732,6.265,54.55,78.6,21.05,33.5,3.3,#N/A N/A,5.4,171,89,0.64,0,1.43,7496.1,55.2,8.1,#N/A N/A,55,114.25,73.0711,0.4,-10.475,-1.3,4.9,#N/A N/A,96.9,5.7,11.015,4.02,-4.1,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.854,7.5,0.1,4.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2.88
06/01/1997,5.25,19.89,89.1699,6.531,6.773,6.288,57.85,77.9,23.95,33.9,3.3,#N/A N/A,5.4,171,89,0.64,0,1.43,7496.1,55.2,8.1,#N/A N/A,55,114.25,73.0711,0.4,-10.475,-1.3,4.9,#N/A N/A,96.9,5.7,11.015,4.02,-4.1,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.853,7.5,0.1,4.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2.88
07/01/1997,5.25,19.35,88.7306,6.544,6.789,6.292,55.65,78.5,20.45,35.2,3.3,#N/A N/A,5.4,171,89,0.64,0,1.43,7496.1,55.2,8.1,#N/A N/A,55,114.25,73.0711,0.4,-10.475,-1.3,4.9,#N/A N/A,96.9,5.7,11.015,4.02,-4.1,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.851,7.5,0.1,4.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2.88
08/01/1997,5.25,20.24,89.0459,6.591,6.845,6.34,66.3,86.1,33.25,33.05,3.3,#N/A N/A,5.4,171,89,0.64,0,1.43,7496.1,55.2,8.1,#N/A N/A,55,114.25,73.0711,0.4,-10.475,-1.3,4.9,#N/A N/A,96.9,5.7,11.015,4.7,-4.1,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.83,7.5,0.1,4.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.33,#N/A N/A,#N/A N/A,#N/A N/A,2.88
09/01/1997,5.25,20.91,89.0397,6.503,6.759,6.258,46.3,80.55,12.5,33.8,3.3,#N/A N/A,5.4,171,89,0.64,0,1.43,7496.1,55.2,8.1,#N/A N/A,55,114.25,73.0711,0.4,-10.475,-1.3,4.9,#N/A N/A,96.9,5.7,11.015,4.7,-4.1,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.677,7.5,0.1,4.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.35,#N/A N/A,#N/A N/A,#N/A N/A,2.88
10/01/1997,5.25,19.63,89.1219,6.608,6.845,6.378,55.95,71,22.3,33.65,3.3,#N/A N/A,5.4,171,89,0.64,0,1.43,7496.1,55.2,8.1,#N/A N/A,55,114.25,73.0711,0.4,-10.475,-1.3,4.9,#N/A N/A,96.9,5.7,11.015,4.7,-4.1,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.851,7.5,0.1,4.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.34,#N/A N/A,#N/A N/A,#N/A N/A,2.88
